Recall ID,Date,Month,Year,Product Category,Company,Product Name,Root Cause,Recall Class,Class Description,Severity Score (1-3),Root Cause Risk Weight (1-10),Composite Risk Score,Province,Recall Description
RC-0370,2023-01-18,2023-01,2023,Meat and Poultry,HFS Canada,HFS Canada Chicken Wings,Undeclared allergen,Class I,Serious health risk or death,3,9,2.7,Ontario,Recall of Chicken Wings by HFS Canada because the product may contain undeclared soy which is not declared on the label.
RC-0265,2023-01-27,2023-01,2023,Meat and Poultry,Olymel,Olymel Chicken Wings,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,New Brunswick,Olymel is recalling Chicken Wings due to possible Salmonella contamination.
RC-0027,2023-03-02,2023-03,2023,Dairy and Eggs,Gay Lea Foods,Gay Lea Foods Whole Milk,Labelling error,Class I,Serious health risk or death,3,4,1.2,Alberta,Gay Lea Foods is recalling Whole Milk because the product was labelled with incorrect serving size information.
RC-0657,2023-04-04,2023-04,2023,Meat and Poultry,Olymel,Olymel Turkey Cold Cuts,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Quebec,Olymel is recalling Turkey Cold Cuts because the product was not processed in accordance with approved manufacturing procedures.
RC-0787,2023-04-06,2023-04,2023,Dairy and Eggs,Organic Meadow,Organic Meadow Sour Cream,Foreign material,Class II,Temporary adverse health consequences unlikely to be serious,2,7,1.4,New Brunswick,Organic Meadow is recalling Sour Cream after foreign material (plastic pieces) was found during production.
RC-0306,2023-04-09,2023-04,2023,Dietary Supplements,Jamieson Wellness,Jamieson Wellness Magnesium,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Quebec,Jamieson Wellness is recalling Magnesium because the product was labelled with incorrect storage instructions information.
RC-0790,2023-04-14,2023-04,2023,Seafood,Clearwater Seafoods,Clearwater Seafoods Shrimp,Mislabelling of ingredients,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Quebec,Recall of Shrimp due to incorrect ingredient declaration on the label.
RC-0314,2023-04-24,2023-04,2023,Fruits and Vegetables,Mucci Farms,Mucci Farms Bagged Salad,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Manitoba,Mucci Farms is recalling certain lots of Bagged Salad due to possible Clostridium perfringens contamination detected during routine testing.
RC-0071,2023-04-29,2023-04,2023,Pharmaceuticals,Teva Canada,Teva Canada Nasal Spray,Process deviation,Class I,Serious health risk or death,3,6,1.8,Quebec,Teva Canada is recalling Nasal Spray because the product was not processed in accordance with approved manufacturing procedures.
RC-0553,2023-05-01,2023-05,2023,Beverages,Lassonde Industries,Lassonde Industries Kombucha,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,Ontario,Lassonde Industries is recalling Kombucha due to undeclared fish. People with an allergy to fish should not consume this product.
RC-0732,2023-05-12,2023-05,2023,Infant Formula and Baby Food,Mead Johnson Canada,Mead Johnson Canada Fruit Puree,Mislabelling of ingredients,Class III,Unlikely to cause adverse health consequences,1,4,0.4,Quebec,Recall of Fruit Puree due to incorrect ingredient declaration on the label.
RC-0550,2023-05-20,2023-05,2023,Bakery and Snacks,Leclerc Group,Leclerc Group Whole Wheat Bread,Process deviation,Class I,Serious health risk or death,3,6,1.8,Quebec,Leclerc Group is recalling Whole Wheat Bread because the product was not processed in accordance with approved manufacturing procedures.
RC-0582,2023-05-28,2023-05,2023,Bakery and Snacks,Frito-Lay Canada,Frito-Lay Canada Whole Wheat Bread,Process deviation,Class III,Unlikely to cause adverse health consequences,1,6,0.6,Northwest Territories,Frito-Lay Canada is recalling Whole Wheat Bread because a deviation from standard manufacturing practice occurred during production.
RC-0528,2023-05-29,2023-05,2023,Fruits and Vegetables,Naturipe,Naturipe Bagged Salad,Foreign material,Class II,Temporary adverse health consequences unlikely to be serious,2,7,1.4,Ontario,Naturipe is recalling Bagged Salad due to the possible presence of wood splinters.
RC-0536,2023-06-02,2023-06,2023,Meat and Poultry,Better Beef,Better Beef Pork Sausage,Packaging failure,Class I,Serious health risk or death,3,5,1.5,British Columbia,"Better Beef is recalling Pork Sausage because the packaging may be compromised, potentially affecting product safety."
RC-0454,2023-06-07,2023-06,2023,Dietary Supplements,Jamieson Wellness,Jamieson Wellness Magnesium,Undeclared sulphites,Class I,Serious health risk or death,3,6,1.8,British Columbia,Jamieson Wellness is recalling Magnesium due to undeclared sulphites. People with sensitivity to sulphites should not consume this product.
RC-0237,2023-06-16,2023-06,2023,Dietary Supplements,Naturo Sciences,Naturo Sciences Fish Oil,Labelling error,Class III,Unlikely to cause adverse health consequences,1,4,0.4,Manitoba,Naturo Sciences is recalling Fish Oil because the product was labelled with incorrect net weight information.
